Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,student_comment
1,1,4,14,1,1,1,1,28,5,8,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,"""Despite attending all day classes, the complexity of my graduate studies has led to an average grade of 12.28/20. Being single allows me to focus on my studies, however, the high local unemployment rate is definitely a concern for the future."""
1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,"""Despite being single and dedicated to my graduate studies, the current high unemployment rate is quite concerning for my post-graduation plans. Nevertheless, I'm managing to maintain a decent average grade with my day classes."""
1,1,1,10,1,1,1,13,28,10,10,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,"""Attending day classes allows me to focus more on my studies, although achieving an average grade of 11.0/20 indicates I have room for improvement. As a single student in an area with a 7.6% unemployment rate, it's a bit challenging to secure part-time work alongside my academics."""
1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,"""As a graduate student attending day classes, I find managing my studies moderately challenging, but still maintain an average grade above 13. Being single offers some relief, however, the local unemployment rate of 16.2% is a constant source of worry as I start pondering my future career opportunities."""
1,1,1,6,1,1,1,13,14,4,4,1,0,0,1,0,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,"""Despite being single and attending all day classes, I find it challenging to score higher than a 13/20 average. The local unemployment rate of 9.4% is a concern and adds pressure to perform better academically."""
1,1,1,9,1,1,1,13,1,10,10,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,"""Despite attending day classes regularly, achieving my desired grade has been a bit challenging. The high unemployment rate in my area has made me more focused on my studies, yet a bit anxious about my future job prospects."""
1,8,2,12,1,1,1,3,3,2,11,1,0,0,1,1,0,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,"""Even though I am single and attending day classes, the local unemployment rate of 16.2% is a bit concerning. Nevertheless, I am maintaining an average grade of 13.71/20 and committed to improving it further."""
1,15,1,4,1,14,1,4,5,5,3,0,0,0,1,1,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,"""Despite attending day classes consistently, I'm finding it a bit challenging to score higher grades. The high local unemployment rate does add a degree of stress to my situation as a single student."""
1,16,1,5,1,1,1,27,3,16,22,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,"""As a single graduate student, I'm finding it challenging to secure a job due to the high local unemployment rate of 8.9%, even though I maintain a decent average grade of 13.4/20 from my day classes."""
1,1,1,9,1,1,1,1,1,5,7,0,0,0,0,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,"""Being single and enrolled in day classes definitely helps me focus more on my studies, and I'm proud of my average grade of 13.5/20. However, the high local unemployment rate of 8.9% is a bit concerning for my post-graduation prospects."""
1,9,1,3,0,1,1,13,1,10,6,1,0,0,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,"""Balancing my graduate studies with evening classes has been a bit challenging, but I'm managing to maintain a decent average grade. Being single has its advantages, especially in this tough job market with a high unemployment rate."""
1,1,1,17,0,1,1,2,27,4,10,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,"""Balancing my studies with evening classes has been a bit challenging, but I'm managing to pull through. As a single individual in this high unemployment rate environment, it's crucial for me to make the most of my education."""
1,12,1,1,1,1,1,23,27,10,7,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,"""Despite attending day classes, I've found it tough to keep up with the academic demands and scored average in my grades. Being single, the high unemployment rate in my area makes it even more challenging as it puts a lot of financial pressure on me."""
1,12,1,7,1,8,1,19,27,1,1,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,"""Despite attending day classes, I'm really struggling acadically and haven't been able to secure a passing grade. With the local unemployment rate at 7.6%, my focus has been divided between finding work and my studies."""
1,14,1,9,1,1,1,22,27,7,7,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,"""Despite dropping out and having an average grade of 12/20, I found value in attending day classes, as a single individual. The local unemployment rate of 16.2% is daunting but I'm using this time to reevaluate my next steps in education."""
4,12,1,17,0,1,1,13,14,10,4,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,"""Balancing my evening classes with other personal commitments has posed quite a challenge, especially in the current job market with a 7.6% unemployment rate. Nevertheless, I'm managing to maintain an average grade of 11.6/20."""
1,15,1,8,1,14,3,4,4,4,7,0,0,1,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,"""Despite attending day classes, I had to drop out due to the challenging academic environment and the high unemployment rate in my area which is causing a lot of personal stress."""
1,1,5,15,1,1,1,3,3,3,3,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,"""Despite attending day classes, I'm really struggling with my coursework and have been unable to score in any of them. Being single in an area with high unemployment is quite stressful, and it's been tough to focus on my studies amidst all this."""
1,1,2,9,1,1,1,3,14,3,8,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,"""As a graduate student attending day classes, I've been able to maintain a solid 15.8/20 average grade, which is quite satisfying. However, being single in an area with an 8.9% unemployment rate does add a bit of pressure to excel academically and secure a good job post-graduation."""
1,1,6,12,1,1,1,1,3,3,3,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,"""Balancing graduate studies with seeking employment has been quite challenging due to the high unemployment rate in my area. Despite attending all day classes and maintaining an average grade just above 14, the job hunt remains a daunting task."""
1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,"""Despite having a decent average grade, I had to drop out due to the high unemployment rate in my area, it made me focus more on finding a job rather than attending day classes."""
1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,"""Having a hard time managing evening classes with job hunting in this high unemployment rate setting, it's really taking a toll on my grades."""
1,8,1,17,0,1,1,23,28,5,6,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,"""Juggling evening classes with other daily responsibilities can be quite challenging but I am managing to keep my grades above average. Being single allows me to focus more on my studies even though the local unemployment rate is a bit concerning."""
1,8,2,10,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,"""Being a graduate student with an average grade of 13.2, I am fully committed to my day classes, although it's challenging to find a part-time job with the local unemployment rate at 11.1%. As a single individual, I'm focusing on improving my academic performance while also searching for job opportunities."""
1,8,6,12,1,1,1,22,14,8,8,1,0,0,1,0,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,"""Being a full-time graduate student, attending day classes has been quite intense, but I've managed to maintain a satisfactory grade average. The high local unemployment rate is a concern, making it even more crucial for me to focus on my studies and remain single-minded in my academic pursuits."""
1,15,1,3,0,14,1,1,14,10,10,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,"""Balancing my graduate studies with evening classes is quite challenging but manageable. Being single does offer some flexibility, but the high unemployment rate in my area is definitely a concern for post-graduation plans."""
1,1,1,10,1,1,1,22,28,10,10,0,0,0,1,0,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,"""Despite the high unemployment rate in my area, I am managing to stay just above average in my grad studies by attending day classes. Being single does allow me to focus more on my academics, though it's still a challenge sometimes."""
1,12,1,11,1,1,1,13,28,10,8,0,0,0,1,0,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,"""As a single graduate student attending day classes, I'm managing to maintain a decent grade average, but the high local unemployment rate is quite concerning for my future career prospects."""
1,1,1,12,1,1,1,22,28,7,7,1,0,0,1,0,1,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,"""Despite attending all day classes, I'm finding it a bit challenging to boost my grades above average. The local unemployment rate is quite concerning, making me worry about future job prospects."""
1,1,1,15,1,1,1,1,14,8,8,1,0,0,1,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,"""Despite attending all my day classes, I'm finding it a bit challenging to keep my grades above average. The high unemployment rate in my area is creating a lot of pressure to perform well academically as a single student."""
1,1,3,8,1,1,1,22,27,12,12,0,0,0,1,0,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,"""As a single graduate student, I'm managing to maintain a decent average grade of 15.8, attending day classes regularly. The local unemployment rate of 7.6% is a concern, but I'm focusing on my studies for now."""
1,12,1,17,0,1,1,23,28,10,10,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,"""Juggling evening classes while hunting for a job in this tough economy has been challenging, but my grades are just above average."""
1,1,1,12,1,1,1,1,14,6,6,1,0,0,1,0,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,"""As a single graduate student attending day classes, I am managing to maintain a fairly good average grade above 13, even amid the high local unemployment rate which is certainly a concern for my upcoming job hunt."""
2,4,1,11,1,3,1,1,3,5,4,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,"""Despite attending day classes, I've struggled to keep up academically due to personal factors; being married and dealing with the high local unemployment rate has proven challenging."""
1,12,1,8,1,15,1,3,3,3,3,1,0,0,1,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,"""Despite attending day classes regularly, I had to drop out due to the high unemployment rate adding pressure to find a job. As a single student, juggling these personal factors with academics was a challenge."""
1,8,1,12,1,1,1,23,28,8,11,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,"""Despite the high unemployment rate in the area, I'm focused on my graduate studies, maintaining a quite satisfactory average grade in my day classes, while enjoying my single life."""
1,1,3,2,1,1,1,23,27,5,10,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,"""Despite attending all day classes, I'm really struggling acadically and finding it incredibly difficult to grasp the course material. The high unemployment rate in my local area is an added stressor as a single student."""
1,1,2,12,1,1,1,13,14,10,10,0,0,0,1,0,0,18,0,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,"""Despite attending day classes for my graduate course, maintaining an average grade above 12 has been a challenge due to the high local unemployment rate causing some anxiety."""
1,15,1,10,1,14,1,13,1,10,10,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,"""Being a single graduate student attending day classes, I manage to maintain a decent average grade of 12.0/20, even though the local unemployment rate of 13.9% is quite concerning and adds a bit of pressure."""
1,8,3,2,1,1,1,1,27,5,8,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,"""Despite attending all day classes, I'm really struggling with my coursework which is reflected in my current average grade. The high local unemployment rate also adds pressure to my situation as a single student."""
1,8,1,5,1,1,1,1,1,4,5,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,"""Despite attending all day classes, I'm finding it challenging to achieve higher grades, probably due to the competitive job market conditions in our area."""
1,14,1,5,1,1,1,1,1,4,4,0,0,0,1,1,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,"""Despite being single and attending all day classes, I'm really struggling acadically. The local unemployment rate of 12.7% adds extra stress and makes focusing on improving my grades even more challenging."""
4,13,1,12,1,12,1,1,1,6,6,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,"""Despite attending day classes, I've found it increasingly difficult to remain focused on my studies with the local unemployment rate so high. It's a constant worry, even though my grades are a little above average."""
1,1,3,2,1,1,1,13,14,6,4,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,"""As a single graduate student, I am finding it extremely difficult to grasp the lessons, despite attending all day classes, especially with the local job market being so challenging."""
1,15,1,4,1,14,1,13,27,10,10,1,0,0,1,1,0,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,"""As a single graduate student attending day classes, I'm juggling to keep up with the academic demands, especially with the local unemployment rate at 8.9%, job hunting is a persistent worry too."""
1,1,3,9,1,1,1,1,28,8,8,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,"""I've been attending day classes consistently, but still find the coursework challenging and my grades reflect that. Being single in an area with high unemployment rates adds to the pressure, leading me to drop out."""
1,12,1,11,1,1,1,13,27,8,11,0,0,0,1,1,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,"""Although my grades are slightly above average, I'm finding it challenging to fully engage with the day classes due to the high local unemployment rate, which is a concern as a single student."""
1,8,1,9,1,1,1,23,27,6,6,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,"""Despite being enrolled and attending all day classes, I'm really struggling with the academic challenges as my average grade is currently 0.0/20. Being single in an area with a high unemployment rate of 7.6% further adds to the stress of securing a job while trying to improve my academic performance."""
1,8,1,12,1,1,1,22,14,9,5,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,"""Despite being single and attending all my day classes, I'm finding it hard to push my average grade above 13.75/20. The local unemployment rate of 13.9% is adding extra pressure on me to excel academically."""
1,1,1,2,1,1,1,13,14,6,11,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,"""Despite attending all the day classes, I'm really struggling acadically, and with the local unemployment rate so high, it's been tough to stay motivated."""
1,8,4,11,1,1,1,23,27,6,8,1,0,0,1,1,0,18,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,"""Even though I attended all my day classes, I had to drop out due to the high unemployment rate in my area. As a single student, it's tough to manage financial stability alone."""
1,1,2,15,1,1,1,23,28,10,10,1,0,0,1,1,0,18,0,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate,"""Despite being single and attending all my day classes, I sometimes find it challenging to excel in my graduate studies given the high local unemployment rate, which adds an element of pressure."""
1,8,3,9,1,1,1,13,14,5,8,1,0,1,1,1,0,18,0,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout,"""Despite attending all day lectures, I've found it difficult to keep my grades up and unfortunately, I've had to drop out. The local job market is tough right now, and being single, I need to focus more on securing a decent job."""
1,9,4,11,1,1,1,13,27,8,8,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,"""Despite attending day classes, my performance was average and eventually, I had to drop out. Being single in a community with a high unemployment rate made it more challenging to sustain myself financially while studying."""
1,8,4,15,1,1,1,1,14,10,9,1,0,1,1,1,1,19,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,"""Balancing graduate studies during the day can be quite challenging, especially in this current climate of high unemployment rates which adds a bit of stress. However, I'm managing to stay above average with my grades, which I'm proud of."""
1,8,4,12,1,1,1,23,27,10,10,0,0,0,1,1,1,22,0,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate,"""Being a full-time graduate student, I'm managing to maintain a decent average grade despite the high local unemployment rate. It's challenging to focus on studies without the worry of job security once I graduate."""
2,12,1,3,0,1,1,22,27,10,7,0,0,0,1,1,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate,"""Juggling evening classes, a marriage, and the pressure of a high local unemployment rate can be quite challenging, but I'm managing to maintain a decent average grade. It's not perfect, but I'm staying above water in my graduate studies."""
1,1,6,16,1,1,1,13,14,10,10,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,"""Despite attending day classes, I had to dropout due to the high unemployment rate in my area, which forced me to focus more on job hunting."""
1,12,1,17,0,2,1,3,3,3,3,1,0,0,1,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,"""Struggling to manage my studies and evening classes, particularly with the high unemployment rate in my area adding to the stress. The zero grade average reflects these challenges I'm facing."""
1,12,1,4,1,4,1,3,3,5,3,0,0,1,1,1,0,24,0,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,"""Despite scoring decent grades, I had to drop out due to the challenging local job market conditions. Attending day classes was manageable, but finding steady work while single has been tough."""
1,8,1,11,1,1,1,13,14,5,5,0,0,0,1,1,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,"""Despite attending all day classes, my grades could be better. As a single student in a city with high unemployment, it's a challenge not to worry about future job prospects."""
2,12,1,3,0,1,1,22,27,10,7,1,0,0,1,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,"""Balancing my graduate studies with evening classes is a bit of a challenge, especially while trying to spend quality time with my spouse amidst a high unemployment rate in our locality."""
